Cell line name	URL	Species	Phenotype	Tissue	Samples	Modified lines	Owners	Sources	Commens
HEK293T	https://www.cellosaurus.org/CVCL_0063	Homo_sapiens	Celule umane embrionare de rinichi	Human kidney	SAMN22420271, SAMN22420269, SAMN22420270		Molecular Cell Biology Department, Enzymology Department		
Me290	https://www.cellosaurus.org/CVCL_S598	Homo_sapiens	Celule melanom uman melanotic metastatic	Melanom metastatic , stage II-IV			Molecular Cell Biology Department	LICR, Prof . P Romero,  /GabiC	
Me275	https://www.cellosaurus.org/CVCL_S597	Homo_sapiens	Celule melanom uman melanotic din piele	Melanom melanotic din piele (tesut primar)			Molecular Cell Biology Department	LICR, Prof . P Romero,  /GabiC	
Me319	N/A		Celule de melanom melanotic malign	Mediu dorsal			Molecular Cell Biology Department	LICR, Prof . P Romero,  /GabiC	
Me310	N/A		Celule de melanom melanotic malign		N/A		Molecular Cell Biology Department	LICR, Prof . P Romero,  /GabiC	
CCD-1070Sk	https://www.cellosaurus.org/CVCL_2332	Homo_sapiens	Fibroblaste		SAMN21374231, SAMN21374232, SAMN21374233, SAMN21374234 		Molecular Cell Biology Department		
NHEM	https://www.cellosaurus.org/CVCL_B447	Homo_sapiens	THERE ARE TWO NHEM LINES				Molecular Cell Biology Department		
BV2	https://www.cellosaurus.org/CVCL_0182	Mus_musculus	Ms Miroglia	Microglia			Molecular Cell Biology Department		
J77A1	N/A				N/A		Molecular Cell Biology Department		
RAW_264.7	https://www.cellosaurus.org/CVCL_0493	Mus musculus			SAMN32489934, SAMN32489935		Molecular Cell Biology Department		FAILED, need to redo
SKOV3	https://www.cellosaurus.org/CVCL_0532	Homo_sapiens			SAMN20710030 , SAMN20710031, SAMN20710032 		Molecular Cell Biology Department		
OVCAR5	https://www.cellosaurus.org/CVCL_1628	Homo_sapiens	Cell line contamination	Cell line contamination			Molecular Cell Biology Department		Cellosaurus thinks it is a problematic cell line
B16F10	https://www.cellosaurus.org/CVCL_0159	Mus_musculus	Melanoma metastatic	Melanoma metastatic	SAMN22137224, SAMN22137225, SAMN22137226		Ligand-Receptor Interactions Department		
B16F1	https://www.cellosaurus.org/CVCL_0158	Mus_musculus	Melanoma	Melanoma	SAMN07340361, SAMN07340362, SAMN07340363		Ligand-Receptor Interactions Department		
THP-1	https://www.cellosaurus.org/CVCL_0006	Homo_sapiens	Accute leikimia cells	macrophages	SAMN16623487, SAMN16623488, SAMN16623489		Ligand-Receptor Interactions Department		
MDBK	https://www.cellosaurus.org/CVCL_0421	Bos_taurus	Bovine kidney cells with Madin-Darby syndrome	Kidney	SAMN04378088		Ligand-Receptor Interactions Department		
HepaRG	https://www.cellosaurus.org/CVCL_9720	Homo_sapiens	Hepatocellular carcinoma , Hepatitis C infected	Liver	"SRR5087489", "SRR5087490", "SRR5087500", "SRR5087501"		Ligand-Receptor Interactions Department	Univ. Lyon, Dr. D. Durantel                	
HepG2	https://www.cellosaurus.org/CVCL_0027	Homo_sapiens	Problematic cell line: Misclassified. Originally thought to be a hepatocellular carcinoma cell line but shown to be from an hepatoblastoma	Liver			Ligand-Receptor Interactions Department	Univ. Lyon, Dr. D. Durantel	
Huh7	https://www.cellosaurus.org/CVCL_0336	Homo_sapiens	Adult hepatocellular carcinoma	Liver			Ligand-Receptor Interactions Department		
Colo205	https://www.cellosaurus.org/CVCL_F402	Homo_sapiens	Colon adenocarcinoma	Colon			Ligand-Receptor Interactions Department		
HT-29	https://www.cellosaurus.org/CVCL_0320	Homo_sapiens	Colon adenocarcinoma	Colon			Ligand-Receptor Interactions Department, 		
HCT8	https://www.cellosaurus.org/CVCL_2478	Homo_sapiens	Colon adenocarcinoma	Colon			Ligand-Receptor Interactions Department		
FBD		Homo_sapiens	CLARIFICATION NEEDED				Ligand-Receptor Interactions Department		
HeLa	https://www.cellosaurus.org/CVCL_0030	Homo_sapiens	Adenocarcinoma				Ligand-Receptor Interactions Department		
KG1a	https://www.cellosaurus.org/CVCL_1824	Homo_sapiens	undifferentiated promyeloblasts.	Bone marrow			Ligand-Receptor Interactions Department		
A549	https://www.cellosaurus.org/CVCL_0023	Homo_sapiens					Enzymology Department		
U-2OS	https://www.cellosaurus.org/CVCL_0042	Homo_sapiens					Enzymology Department		
EA.hy926	https://www.cellosaurus.org/CVCL_3901	Homo_sapiens					Enzymology Department		
EPC	N/A		CLARIFICATION NEEDED				Enzymology Department		
CHO	https://www.cellosaurus.org/CVCL_0213	Cricetulus_griseus					Enzymology Department		
COS-7	https://www.cellosaurus.org/CVCL_0224	Chlorocebus_aethiops					Enzymology Department		
Jurkat	https://www.cellosaurus.org/CVCL_0065	Homo_sapiens	Childhood T acute lymphoblastic leukemia		SAMN01985824, SAMN01985825, SAMN01985826		Enzymology Department		
U937	https://www.cellosaurus.org/CVCL_0007	Homo_sapiens					Enzymology Department		
SHSY-5Y	https://www.cellosaurus.org/CVCL_0019	Homo_sapiens					Enzymology Department		
LNCaP	https://www.cellosaurus.org/CVCL_0395	Homo_sapiens					Enzymology Department		
MCF-7	https://www.cellosaurus.org/CVCL_0031	Homo_sapiens					Enzymology Department		
MEF PLCγ1+/+		Mus_musculus					Enzymology Department		
MEF PLCγ1-/-		Mus_musculus					Enzymology Department		
Raji	https://www.cellosaurus.org/CVCL_0511	Homo_sapiens					Enzymology Department		
M14K	https://www.cellosaurus.org/CVCL_8102	Homo_sapiens					Enzymology Department		
MDA-MB-231	https://www.cellosaurus.org/CVCL_0062	Homo_sapiens					Enzymology Department		
